technique,context_length,model,cache_size,travel_planning,html_to_tsv,pseudo_to_code
streamingllm,8k,Qwen2.5-7B-Instruct,n_local_4092_n_init_4,19.678499964947214,17.956676518328575,
streamingllm,8k,Llama-3.1-8B-Instruct,n_local_4092_n_init_4,16.408023721433917,17.78720304932918,
streamingllm,5k,Qwen2.5-7B-Instruct,n_local_4092_n_init_4,,20.27378493920692,23.120792450722202
streamingllm,5k,Qwen2.5-7B-Instruct,n_local_3968_n_init_128,,19.991464553898588,23.773691645699625
streamingllm,5k,Llama-3.1-8B-Instruct,n_local_4092_n_init_4,,18.946577374308134,23.46336149864925
streamingllm,5k,Llama-3.1-8B-Instruct,n_local_3968_n_init_128,,21.46950159244156,24.896213026140146
streamingllm,2k,Qwen2.5-7B-Instruct,n_local_4092_n_init_4,21.246499398529547,21.253526172729178,25.477901633734774
streamingllm,2k,Qwen2.5-7B-Instruct,n_local_3968_n_init_128,22.525887257684374,20.55057301678498,25.447040985914782
streamingllm,2k,Llama-3.1-8B-Instruct,n_local_4092_n_init_4,20.114387246108514,22.900286297679948,24.971687326463826
streamingllm,2k,Llama-3.1-8B-Instruct,n_local_3968_n_init_128,20.299234079885842,23.35330074793938,24.78056290952206
pyramidkv,8k,Qwen2.5-7B-Instruct,w32_c2048_k5_avgpool,21.537655947703986,21.391433637251,
pyramidkv,8k,Qwen2.5-7B-Instruct,w32_c64_k5_avgpool,30.221617883229392,24.168195942298176,
pyramidkv,8k,Llama-3.1-8B-Instruct,w32_c2048_k5_avgpool,17.894451465007357,20.84203600015788,
pyramidkv,8k,Llama-3.1-8B-Instruct,w32_c64_k5_avgpool,20.800078461401487,23.498031100774405,
pyramidkv,5k,Qwen2.5-7B-Instruct,w32_c2048_k5_avgpool,,26.61967015263207,31.368224913366102
pyramidkv,5k,Qwen2.5-7B-Instruct,w32_c4096_k5_avgpool,,24.6822990367858,32.764798414622
pyramidkv,5k,Qwen2.5-7B-Instruct,w32_c64_k5_avgpool,,28.310196790563175,31.988950629606613
pyramidkv,5k,Llama-3.1-8B-Instruct,w32_c2048_k5_avgpool,,26.397816268535568,30.576448293125374
pyramidkv,5k,Llama-3.1-8B-Instruct,w32_c4096_k5_avgpool,,23.493007387751206,32.139911654910456
pyramidkv,5k,Llama-3.1-8B-Instruct,w32_c64_k5_avgpool,,29.75585816459438,32.42607169358012
pyramidkv,2k,Qwen2.5-7B-Instruct,w32_c2048_k5_avgpool,27.102974537215445,27.56907317890375,28.90003432478405
pyramidkv,2k,Qwen2.5-7B-Instruct,w32_c4096_k5_avgpool,23.439333712029484,24.48700420290261,27.672108942175342
pyramidkv,2k,Qwen2.5-7B-Instruct,w32_c64_k5_avgpool,32.14001851329754,30.60385721931282,31.915054591849376
pyramidkv,2k,Llama-3.1-8B-Instruct,w32_c2048_k5_avgpool,24.533256221720542,27.53473584906849,27.256764500170522
pyramidkv,2k,Llama-3.1-8B-Instruct,w32_c4096_k5_avgpool,23.534826097759197,24.15384697235336,27.635015308601332
pyramidkv,2k,Llama-3.1-8B-Instruct,w32_c64_k5_avgpool,28.158455963141556,29.97795976866506,29.31444510222497
baseline,8k,Qwen2.5-7B-Instruct,default,45.39133048419933,36.86509277113933,
INT4,8k,Qwen2.5-7B-Instruct,default,33.23387323432001,30.51656193150342,
INT8,8k,Qwen2.5-7B-Instruct,default,12.879301192429462,12.024193600970758,
baseline,8k,Llama-3.1-8B-Instruct,default,41.991355907801335,24.91456171540999,
INT4,8k,Llama-3.1-8B-Instruct,default,28.91904733166065,23.65212515180701,
INT8,8k,Llama-3.1-8B-Instruct,default,13.490893969142263,10.897571805128909,
baseline,5k,Qwen2.5-7B-Instruct,default,,40.57927370627339,44.56528986131972
INT4,5k,Qwen2.5-7B-Instruct,default,,30.024649257282302,32.03314002487371
INT8,5k,Qwen2.5-7B-Instruct,default,,11.856572395387932,12.223844455836486
baseline,5k,Llama-3.1-8B-Instruct,default,,34.30525217632942,40.81721657612641
INT4,5k,Llama-3.1-8B-Instruct,default,,26.422387977411415,28.756263248914006
INT8,5k,Llama-3.1-8B-Instruct,default,,12.15992056183878,13.299499028737054
baseline,2k,Qwen2.5-7B-Instruct,default,44.804202908365305,39.12038062524741,44.9397461072407
INT4,2k,Qwen2.5-7B-Instruct,default,32.33994853461298,30.518688393490713,31.705518577600937
INT8,2k,Qwen2.5-7B-Instruct,default,12.422607097370062,11.872677390032946,12.267675487997842
baseline,2k,Llama-3.1-8B-Instruct,default,38.3786771549226,31.17130910285396,40.73505049260874
INT4,2k,Llama-3.1-8B-Instruct,default,29.032717948748587,26.387960009163688,29.332741595340842
INT8,2k,Llama-3.1-8B-Instruct,default,13.058777453515468,11.419042321220283,13.407209064455168
minference,8k,Qwen2.5-7B-Instruct,default,35.56494987962997,12.720122250638797,
minference,8k,Llama-3.1-8B-Instruct,default,29.178585928696517,9.613331042229591,
minference,5k,Qwen2.5-7B-Instruct,default,,24.53882481950427,30.469321134666988
minference,5k,Llama-3.1-8B-Instruct,default,,19.302892066851996,28.141408087160098
minference,2k,Qwen2.5-7B-Instruct,default,34.523335739483194,18.26577983067462,35.0930245342729
minference,2k,Llama-3.1-8B-Instruct,default,31.281230791401086,13.980881700147634,31.875836332692923
streamingllm_original,8k,Qwen2.5-7B-Instruct,default,46.15249772783445,36.72185890357318,
streamingllm_original,8k,Llama-3.1-8B-Instruct,default,42.712830846574946,24.672948411770616,
streamingllm_original,5k,Qwen2.5-7B-Instruct,default,,40.611605145962315,44.3466542827154
streamingllm_original,5k,Llama-3.1-8B-Instruct,default,,34.35187428332837,39.005050154437
streamingllm_original,2k,Qwen2.5-7B-Instruct,default,44.68906042804403,39.68355523737879,45.56772700939546
streamingllm_original,2k,Llama-3.1-8B-Instruct,default,40.22252881273796,30.95419484360511,39.84620667266767
snapkv,8k,Qwen2.5-7B-Instruct,w32_c4096_k7_maxpool,19.087856227461465,19.570994754753848,
snapkv,8k,Qwen2.5-7B-Instruct,w32_c1024_k7_maxpool,22.709220987559664,22.908537063526257,
snapkv,8k,Llama-3.1-8B-Instruct,w32_c4096_k7_maxpool,15.831388353285334,17.87513655013655,
snapkv,8k,Llama-3.1-8B-Instruct,w32_c1024_k7_maxpool,19.29804185671794,21.769483617105948,
snapkv,5k,Qwen2.5-7B-Instruct,w32_c4096_k7_maxpool,,25.465145816642625,30.52380334523247
snapkv,5k,Qwen2.5-7B-Instruct,w32_c1024_k7_maxpool,,27.799887012153015,30.05050413002107
snapkv,5k,Qwen2.5-7B-Instruct,w32_c4096_k5_avgpool,,25.377428123608382,33.262345018013136
snapkv,5k,Llama-3.1-8B-Instruct,w32_c4096_k7_maxpool,,23.73202767007713,30.37772938037251
snapkv,5k,Llama-3.1-8B-Instruct,w32_c1024_k7_maxpool,,27.742645873885156,30.443566967843466
snapkv,5k,Llama-3.1-8B-Instruct,w32_c4096_k5_avgpool,,24.394545663353433,31.823961835880695
snapkv,2k,Qwen2.5-7B-Instruct,w32_c4096_k7_maxpool,24.08774802191981,25.5321889094624,29.067390481418037
snapkv,2k,Qwen2.5-7B-Instruct,w32_c1024_k7_maxpool,28.64080299415785,29.191485785449544,29.320972823663528
snapkv,2k,Qwen2.5-7B-Instruct,w32_c4096_k5_avgpool,24.127440055293064,25.8962360810144,28.936512787752726
snapkv,2k,Llama-3.1-8B-Instruct,w32_c4096_k7_maxpool,24.30143114850896,26.042330910423424,27.773985548453094
snapkv,2k,Llama-3.1-8B-Instruct,w32_c1024_k7_maxpool,25.362290456787083,28.19512261156979,27.565212533157105
snapkv,2k,Llama-3.1-8B-Instruct,w32_c4096_k5_avgpool,22.643943026862893,25.776232214892623,27.012767020778657
